stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.028345200000330806,,0.011505500000566826,0.028345200000330806,0.5265134000001126,0.5265134000001126,0.5438766999996005,0.8268241999994643,1.4199664999996457,left,-10.0,1,1,0.767806500000006,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
1,2,8.0,1.4256060000006983,,1.4200376999997388,1.4256060000006983,1.926584400000138,1.926584400000138,1.926584400000138,2.2270864000001893,2.4112234999993234,left,-8.0,1,1,0.4814696000012191,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
2,2,6.0,2.426861399999325,,2.4112862999991194,2.426861399999325,2.926984399999128,2.926984399999128,2.926984399999128,3.227017600000181,3.3617513999997755,left,-6.0,1,1,0.433229800000845,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
3,2,4.0,3.377271800000017,,3.3618167999993602,3.377271800000017,3.876824499999202,3.876824499999202,3.876824499999202,4.1768178999991505,4.227654599999369,right,4.0,1,1,0.33602179999979853,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
4,2,2.0,4.243510799999058,,4.22771769999963,4.243510799999058,4.743575200000123,4.743575200000123,4.743575200000123,5.0439688000005845,5.512280499999179,right,2.0,1,1,0.7606605999990279,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
5,2,1.0,5.528278499999942,,5.51234149999982,5.528278499999942,6.026956699999573,6.026956699999573,6.044233299999178,6.326959199999692,7.095108100000289,right,1.0,1,1,1.0602708000005805,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
6,2,1.0,7.109918800000742,,7.095184600000721,7.109918800000742,7.6099278000001505,7.6099278000001505,7.6099278000001505,7.909988499999599,8.360753499999191,left,-1.0,1,1,0.7498297000001912,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
7,2,1.0,8.376924399999552,,8.36081700000068,8.376924399999552,8.859877799999595,8.859877799999595,8.877310199999556,9.160086100000626,9.910525499999494,left,-1.0,1,1,1.0427844999994704,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
8,2,1.0,9.926991899999848,,9.91058990000056,9.926991899999848,10.410435300000245,10.410435300000245,10.427307199999632,10.710139099999651,11.111021099999562,right,1.0,1,1,0.6917118999990635,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
9,2,1.0,11.12685810000039,,11.111083800000415,11.12685810000039,11.626647200000662,11.626647200000662,11.626647200000662,11.926584299999377,12.12779749999936,right,1.0,1,1,0.4945306999998138,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
10,1,1.0,12.143516300000556,,12.127860700000383,12.143516300000556,12.64355500000056,12.64355500000056,12.64355500000056,12.943624999999884,13.227290099999664,right,1.0,0,0,0.5712757000001147,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
11,1,2.0,13.243514600000708,,13.22735830000056,13.243514600000708,13.727213500000289,13.727213500000289,13.743344700000307,14.026981299999534,14.343968400000449,right,2.0,1,1,0.6005839000008564,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
12,1,2.0,14.35983320000014,,14.344031599999653,14.35983320000014,14.843871700000818,14.843871700000818,14.860441099999662,15.143861299999116,15.394513799999913,left,-2.0,1,1,0.5464694000002055,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
13,1,2.0,15.410874400000466,,15.394574399999328,15.410874400000466,15.910196700000597,15.910196700000597,15.910196700000597,16.2098160000005,16.610835600000428,right,2.0,1,1,0.6835623999995732,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
14,1,1.0,16.626852400000644,,16.610902599999463,16.626852400000644,17.110291099999813,17.110291099999813,17.127060299999357,17.410324299999047,17.810579099999813,left,-1.0,1,1,0.6881346999998641,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
15,1,1.0,17.826450399999885,,17.810641199999736,17.826450399999885,18.310844999999972,18.310844999999972,18.32688710000002,18.61062099999981,18.6772617000006,right,1.0,1,1,0.3580746999996336,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
16,1,1.0,18.693521400000463,,18.67732310000065,18.693521400000463,19.17658019999908,19.17658019999908,19.193646399999125,19.476844700000584,19.911135599999398,left,-1.0,1,1,0.7308078999994905,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
17,1,1.0,19.92685200000051,,19.9112425000003,19.92685200000051,20.426836700000422,20.426836700000422,20.426836700000422,20.726836100000583,20.794615999999223,right,1.0,1,1,0.3649657000005391,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
18,1,1.0,20.809807999999975,,20.794718600000124,20.809807999999975,21.310337099999742,21.310337099999742,21.310337099999742,21.609810500000094,21.72774550000031,right,1.0,1,1,0.41440429999966,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
19,1,1.0,21.743254799999704,,21.72780899999998,21.743254799999704,22.24371120000069,22.24371120000069,22.24371120000069,22.54334799999924,22.644236599999203,right,1.0,1,1,0.39840629999889643,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
20,1,1.0,22.66051300000072,,22.64430220000031,22.66051300000072,23.143864899999244,23.143864899999244,23.160130300000674,23.444014000000607,23.677267400000346,left,-1.0,1,1,0.5218899999999849,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
21,0.5,1.0,23.693482599999697,,23.67733159999989,23.693482599999697,24.177029700000276,24.177029700000276,24.193756999999096,24.477079199999935,24.627870500000427,left,-1.0,0,0,0.4490389000002324,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
22,0.5,1.5,24.643373700000666,,24.627934500000265,24.643373700000666,25.14370670000062,25.14370670000062,25.14370670000062,25.443337799999426,25.977100599999176,left,-1.5,1,1,0.8205250000009983,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
23,0.5,1.5,25.993151299999226,,25.9771638000002,25.993151299999226,26.476891599999362,26.476891599999362,26.493459799999982,26.776887199999692,27.393921000000773,left,-1.5,1,1,0.9115045000016835,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
24,0.5,1.5,27.41063469999972,,27.394043199999942,27.41063469999972,27.89311970000017,27.89311970000017,27.91010230000029,28.193436999999903,28.394097899999906,right,1.5,1,1,0.4995257999999012,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
25,0.5,1.0,28.40998810000019,,28.39416429999983,28.40998810000019,28.910260599999674,28.910260599999674,28.910260599999674,29.209729599999264,29.627365799999097,left,-1.0,1,1,0.7052371999998286,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
26,0.5,1.0,29.643686100000195,,29.627433600000586,29.643686100000195,30.12686919999942,30.12686919999942,30.143447899999956,30.426417500000753,30.661042699999598,left,-1.0,1,1,0.5328982999999425,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
27,0.5,1.0,30.676753600000666,,30.66110750000007,30.676753600000666,31.176507800000763,31.176507800000763,31.176507800000763,31.476721499999258,31.710682000000816,right,1.0,1,1,0.532180199999857,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
28,0.5,1.0,31.72718789999999,,31.710746999999174,31.72718789999999,32.21036300000014,32.21036300000014,32.22645469999952,32.5101508000007,32.744856600000276,left,-1.0,1,1,0.5232353999999759,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
29,0.5,1.0,32.75974850000057,,32.74492819999978,32.75974850000057,33.260003600000346,33.260003600000346,33.260003600000346,33.56003369999962,33.76084110000011,left,-1.0,0,0,0.4928177000001597,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
30,0.5,1.5,33.77640389999942,,33.76090999999906,33.77640389999942,34.26023610000084,34.26023610000084,34.277003299999706,34.55970139999954,35.010404200000266,right,1.5,1,1,0.7339465000004566,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
31,0.5,1.5,35.0264559999996,,35.010467699999936,35.0264559999996,35.5101336000007,35.5101336000007,35.526535999999396,35.809939299999314,35.978205600000365,right,1.5,1,1,0.45215839999946184,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
32,0.5,1.5,35.99351999999999,,35.97827089999919,35.99351999999999,36.493246300000465,36.493246300000465,36.493246300000465,36.793674500000634,36.89400740000019,left,-1.5,1,1,0.38691020000078424,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
33,0.5,1.0,36.90977229999953,,36.89407360000041,36.90977229999953,37.39368619999914,37.39368619999914,37.40990620000048,37.69306350000079,38.06044610000026,left,-1.0,1,1,0.6508991999999125,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
34,0.5,1.0,38.076838599999974,,38.0605087999993,38.076838599999974,38.56017939999947,38.56017939999947,38.57644950000031,38.8604591000003,39.5943258999996,left,-1.0,1,1,1.0235367999994196,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
35,0.5,1.0,39.610325399999056,,39.59439019999991,39.610325399999056,40.09320110000044,40.09320110000044,40.11011780000081,40.393001899999945,40.89392249999946,right,1.0,1,1,0.796793900000921,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
36,0.5,1.0,40.910188500000004,,40.89400770000066,40.910188500000004,41.39382950000072,41.39382950000072,41.410215300000345,41.693132700000206,42.01052139999956,right,1.0,1,1,0.6098579999998037,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
37,0.5,1.0,42.026464900000065,,42.01058770000054,42.026464900000065,42.5101252000004,42.5101252000004,42.52659449999919,42.809821400000146,43.044052699999156,right,1.0,1,1,0.5287551000001258,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
38,0.5,1.0,43.06014900000082,,43.044119899999714,43.06014900000082,43.54367760000059,43.54367760000059,43.55999100000008,43.843188999999256,44.26102270000047,left,-1.0,1,1,0.7026363999993919,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
39,0.5,1.0,44.27801630000067,,44.261106500000096,44.27801630000067,44.7768458999999,44.7768458999999,44.793323600000804,45.07664920000025,45.47732779999933,right,1.0,1,1,0.6903232000004209,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
40,0.5,1.0,45.49307889999909,,45.477390599999126,45.49307889999909,45.99320830000033,45.99320830000033,45.99320830000033,46.29297570000017,46.87744670000029,left,-1.0,1,1,0.8797794999991311,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
41,0.5,1.0,46.89317429999937,,46.877522200000385,46.89317429999937,47.39326489999985,47.39326489999985,47.39326489999985,47.69334759999947,47.97809380000035,right,1.0,1,1,0.5723149000004923,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
42,0.5,1.0,47.99332130000039,,47.97815939999964,47.99332130000039,48.49318560000029,48.49318560000029,48.49318560000029,48.79300440000043,49.043920699999944,left,-1.0,1,1,0.5410521000012523,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
43,0.5,1.0,49.05999949999932,,49.043983199999275,49.05999949999932,49.543013299999075,49.543013299999075,49.55971789999967,49.84331620000012,50.361181000000215,left,-1.0,1,1,0.8145702999991045,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
44,0.5,1.0,50.37702960000024,,50.361247799999546,50.37702960000024,50.8767196000008,50.8767196000008,50.8767196000008,51.17665390000002,51.74432209999941,left,-1.0,1,1,0.8523295000013604,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
45,0.5,1.0,51.76021369999944,,51.74439220000022,51.76021369999944,52.26028849999966,52.26028849999966,52.26028849999966,52.55962729999919,52.760194700000284,right,1.0,1,1,0.495293899999524,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
46,0.5,1.0,52.77654520000033,,52.76025800000025,52.77654520000033,53.26064419999966,53.26064419999966,53.27671849999933,53.55960699999923,53.82808959999966,right,1.0,1,1,0.5571077000004152,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
47,0.5,1.0,53.84376460000021,,53.82815699999992,53.84376460000021,54.343334799999866,54.343334799999866,54.343334799999866,54.64367189999939,55.077122799999415,right,1.0,1,1,0.7284002999986114,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
48,0.5,1.0,55.093551100000695,,55.07718650000061,55.093551100000695,55.57661030000054,55.57661030000054,55.59317310000006,55.876232900000105,56.07726919999914,right,1.0,1,1,0.49017079999975977,603899,001,2024-09-10_15h50.41.620,staircase,2024.1.5,None,2024-09-10 15h50.46.868226 +0530,
