trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
66,0,66,0,97.67081769974902,,97.62140179984272,10,97.67081769974902,97.67081769974902,0.03556180000305176,98.71380859985948,99.04860129998997,[-0.21333333333333335],[-0.25],[1],[0],[0],[1.3919375999830663],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
67,0,67,0,99.12854210007936,,99.05666470015422,10,99.12854210007936,99.12854210007936,0.05767050012946129,100.16360649978742,100.58298739977181,[-0.02],[0.13333333333333333],[1],[0],[0],[1.4698189999908209],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
68,0,68,0,100.6156319999136,,100.58796120015904,5,100.6156319999136,100.6156319999136,0.018950900062918663,101.64699969999492,102.18358479999006,[-0.28833333333333333],[-0.24],[1],[0],[0],[1.576965999789536],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
69,0,69,0,102.23385349987075,,102.19154429994524,5,102.23385349987075,102.23385349987075,0.02952570002526045,103.24837360018864,103.73272259999067,[-0.23166666666666666],[0.18833333333333332],[1],[0],[0],[1.5128922001458704],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
70,0,70,0,103.76698679989204,,103.73723169974983,5,103.76698679989204,103.76698679989204,0.01829299982637167,104.78412939980626,105.08330440009013,[0.0],[0.12333333333333334],[1],[0],[0],[1.3280806997790933],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
71,0,71,0,105.14656409993768,,105.09093789989129,10,105.14656409993768,105.14656409993768,0.04269509995356202,106.18044719984755,106.98163209995255,[0.16333333333333333],[-0.38666666666666666],[1],[0],[0],[1.8490618001669645],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
72,0,72,0,107.03521559992805,,106.9893863000907,5,107.03521559992805,107.03521559992805,0.031147300265729427,108.04843389987946,108.9000531998463,[0.2833333333333333],[-0.21166666666666667],[1],[0],[0],[1.8805481996387243],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
73,0,73,0,108.95210690004751,,108.90780910011381,5,108.95210690004751,108.95210690004751,0.03068750025704503,109.96441579982638,110.36855590017512,[-0.06333333333333334],[0.43833333333333335],[1],[0],[0],[1.4311195998452604],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
74,0,74,0,110.40843089995906,,110.37622819980606,5,110.40843089995906,110.40843089995906,0.02463539969176054,111.41440089978278,112.46695839986205,[-0.2866666666666667],[0.021666666666666667],[1],[0],[0],[2.0672721001319587],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
75,0,75,0,112.5289626000449,,112.4746821001172,10,112.5289626000449,112.5289626000449,0.04161170031875372,113.53098070016131,113.74954929994419,[-0.07333333333333333],[0.40166666666666667],[1],[0],[0],[1.2345159999094903],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
76,0,76,0,113.78210800001398,,113.75406430009753,5,113.78210800001398,113.78210800001398,0.018832200206816196,114.78184300009161,115.2332776999101,[0.325],[-0.27],[1],[0],[0],[1.4603438000194728],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
77,0,77,0,115.28510949993506,,115.24105039983988,5,115.28510949993506,115.28510949993506,0.030543599743396044,116.33059429982677,117.03440020000562,[-0.445],[-0.25666666666666665],[1],[0],[0],[1.763857299927622],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
78,0,78,0,117.08599349996075,,117.04235689993948,5,117.08599349996075,117.08599349996075,0.030220599845051765,118.0974623998627,118.5688014999032,[-0.27666666666666667],[0.295],[1],[0],[0],[1.4971586000174284],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
79,0,79,0,118.62061029998586,,118.57676950003952,5,118.62061029998586,118.62061029998586,0.030657300259917974,119.66339180013165,119.9315766999498,[-0.17166666666666666],[-0.43833333333333335],[1],[0],[0],[1.325191100127995],[],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
80,0,80,0,119.99961060006171,,119.93951429985464,10,119.99961060006171,119.99961060006171,0.046081400010734797,121.01430650008842,121.31649489980191,[-0.05],[-0.0033333333333333335],[1],[0],[0],[1.3321504001505673],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
81,0,81,0,121.37170200003311,,121.3210212001577,10,121.37170200003311,121.37170200003311,0.03552269982174039,122.38088529976085,122.99885840015486,[-0.09166666666666666],[0.01],[1],[0],[0],[1.6426429999992251],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
82,0,82,0,123.05098519986495,,123.00685520004481,5,123.05098519986495,123.05098519986495,0.030620599631220102,124.0648755999282,124.38240749994293,[0.03],[-0.08666666666666667],[1],[0],[0],[1.3462863001041114],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
83,0,83,0,124.41528500011191,,124.38693659985438,5,124.41528500011191,124.41528500011191,0.018425299786031246,125.41484089987352,125.88268119981512,[-0.15666666666666668],[0.3516666666666667],[1],[0],[0],[1.4778464999981225],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
84,0,84,0,125.9368452001363,,125.88712309999391,10,125.9368452001363,125.9368452001363,0.03463219990953803,126.94779939996079,127.51660790015012,[-0.39166666666666666],[0.44166666666666665],[1],[0],[0],[1.595357000362128],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
85,0,85,0,127.57594509981573,,127.52110690018162,10,127.57594509981573,127.57594509981573,0.03857899969443679,128.61349020013586,130.2164679998532,[-0.18166666666666667],[0.4816666666666667],[1],[0],[0],[2.657101900316775],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
86,0,86,0,130.26863030018285,,130.2244265000336,5,130.26863030018285,130.26863030018285,0.030856000259518623,,131.01665249979123,[-0.18166666666666667],[0.4816666666666667],[1],[0],[0],[0.7624558000825346],[],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
87,0,87,0,131.06860450003296,,131.02432770002633,5,131.06860450003296,131.06860450003296,0.030775099992752075,132.0813392000273,132.68331159977242,[0.11833333333333333],[0.19666666666666666],[1],[0],[0],[1.6293517998419702],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
88,0,88,0,132.71303380001336,,132.6877890001051,5,132.71303380001336,132.71303380001336,0.017005799803882837,133.71518249996006,134.1323195998557,[0.25],[-0.33166666666666667],[1],[0],[0],[1.4279442001134157],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
89,0,89,0,134.16394589981064,,134.13676150003448,5,134.16394589981064,134.16394589981064,0.018420400097966194,135.16417350014672,135.59961290005594,[0.12166666666666667],[0.48833333333333334],[1],[0],[0],[1.4449375998228788],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
90,0,90,0,135.63263050001115,,135.6041856999509,5,135.63263050001115,135.63263050001115,0.018866799771785736,136.63123800000176,137.26659790007398,[-0.3016666666666667],[0.13833333333333334],[1],[0],[0],[1.6440993999131024],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
91,0,91,0,137.32476679980755,,137.27107990020886,10,137.32476679980755,137.32476679980755,0.037581900134682655,138.36343909986317,138.71813979977742,[-0.07666666666666666],[0.008333333333333333],[1],[0],[0],[1.409821500070393],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
92,0,92,0,138.75923509988934,,138.7258855998516,5,138.75923509988934,138.75923509988934,0.025196800008416176,139.7653493997641,140.28341539995745,[0.28],[-0.47],[1],[0],[0],[1.5333561999723315],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
93,0,93,0,140.35690259980038,,140.2915389998816,10,140.35690259980038,140.35690259980038,0.05267879972234368,141.38007949991152,141.84823150001466,[-0.30666666666666664],[-0.04666666666666667],[1],[0],[0],[1.5053813997656107],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
94,0,94,0,141.91753209987655,,141.85616800002754,10,141.91753209987655,141.91753209987655,0.048985099885612726,142.96386480005458,143.36694849980995,[0.25666666666666665],[0.3883333333333333],[1],[0],[0],[1.463065099902451],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
95,0,95,0,143.41991430008784,,143.37143949978054,10,143.41991430008784,143.41991430008784,0.03483540005981922,144.43163130013272,145.3319982001558,[-0.22333333333333333],[-0.44],[1],[0],[0],[1.9259974998421967],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
96,0,96,0,145.3811940997839,,145.340008799918,5,145.3811940997839,145.3811940997839,0.030777400359511375,146.38104220014066,147.04971069982275,[0.13666666666666666],[0.043333333333333335],[1],[0],[0],[1.6802958003245294],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
97,0,97,0,147.10283590015024,,147.05423570005223,10,147.10283590015024,147.10283590015024,0.03494039969518781,148.1466550999321,148.74834399996325,[-0.415],[0.49666666666666665],[1],[0],[0],[1.6595133999362588],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
98,0,98,0,148.81915039988235,,148.7560041998513,10,148.81915039988235,148.81915039988235,0.04926390014588833,149.83064559986815,150.90056770015508,[0.4666666666666667],[0.43],[1],[0],[0],[2.0965211000293493],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
99,0,99,0,150.93370330007747,,150.90547680016607,5,150.93370330007747,150.93370330007747,0.019095900002866983,151.96525570005178,153.5521761002019,[-0.24166666666666667],[0.06666666666666667],[1],[0],[0],[2.6278586997650564],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
100,0,100,0,153.60034300014377,,153.5599086000584,5,153.60034300014377,153.60034300014377,0.030347800347954035,154.6144174998626,154.99970469996333,[0.41333333333333333],[0.09],[1],[0],[0],[1.4106833999976516],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
101,0,101,0,155.05387189984322,,155.00422459980473,10,155.05387189984322,155.05387189984322,0.03517299983650446,156.08067349996418,156.7827610000968,[-0.13166666666666665],[0.37833333333333335],[1],[0],[0],[1.7436818997375667],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
102,0,102,0,156.87236810009927,,156.79037849977612,10,156.87236810009927,156.87236810009927,0.05981140024960041,157.8969013998285,158.6002539000474,[-0.24666666666666667],[0.11833333333333333],[1],[0],[0],[1.7511714999563992],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
103,0,103,0,158.6535601997748,,158.60474290000275,10,158.6535601997748,158.6535601997748,0.03393639996647835,159.66442540008575,160.6168583999388,[0.26666666666666666],[-0.15833333333333333],[1],[0],[0],[1.9786798004060984],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
104,0,104,0,160.67339889984578,,160.62138319993392,10,160.67339889984578,160.67339889984578,0.03735789982602,161.69687009975314,162.59974869992584,[0.10166666666666667],[-0.20333333333333334],[1],[0],[0],[1.9413427002727985],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
105,0,105,0,162.68804450007156,,162.60751040000468,10,162.68804450007156,162.68804450007156,0.059660700149834156,163.71365709975362,163.91508459998295,[0.35333333333333333],[-0.25666666666666665],[1],[0],[0],[1.2489534001797438],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
106,0,106,0,163.99327010009438,,163.9227454997599,10,163.99327010009438,163.99327010009438,0.05668159993365407,165.03006569994614,165.94874210003763,[-0.045],[-0.44166666666666665],[1],[0],[0],[1.9705938999541104],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
107,0,107,0,166.00436590006575,,165.95325949974358,10,166.00436590006575,166.00436590006575,0.03690920025110245,167.01577300019562,167.9824271001853,[-0.4633333333333333],[-0.23833333333333334],[1],[0],[0],[1.9927218002267182],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
108,0,108,0,168.03447770001367,,167.98694889992476,10,168.03447770001367,168.03447770001367,0.03339779982343316,169.07981379982084,175.13265859987587,[-0.21666666666666667],[0.3983333333333333],[1],[0],[0],[7.112844400107861],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
109,0,109,0,175.16414890019223,,175.1373574999161,5,175.16414890019223,175.16414890019223,0.01806329982355237,176.1815522001125,177.80006449995562,[0.29333333333333333],[0.115],[1],[0],[0],[2.6449727998115122],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
110,0,110,0,177.86627219989896,,177.80779589992017,10,177.86627219989896,177.86627219989896,0.044758399948477745,178.89665899984539,179.63237460004166,[-0.305],[0.02666666666666667],[1],[0],[0],[1.7810188001021743],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
111,0,111,0,179.66517789987847,,179.6369586000219,5,179.66517789987847,179.66517789987847,0.01865459978580475,180.6643523001112,181.18196099996567,[0.30666666666666664],[-0.43],[1],[0],[0],[1.5268655000254512],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
112,0,112,0,181.23575299978256,,181.18643159978092,10,181.23575299978256,181.23575299978256,0.034869200084358454,182.26326079992577,182.73272439977154,[0.11833333333333333],[0.31666666666666665],[1],[0],[0],[1.5117534999735653],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
113,0,113,0,182.7862539999187,,182.74052760004997,5,182.7862539999187,182.7862539999187,0.03193959966301918,183.79794010007754,184.83347469987348,[-0.49833333333333335],[0.41],[1],[0],[0],[2.0621517999097705],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
114,0,114,0,184.867031800095,,184.8379615000449,5,184.867031800095,184.867031800095,0.01887729996815324,185.88231700006872,186.2845367998816,[-0.24],[-0.25333333333333335],[1],[0],[0],[1.428015099838376],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
115,0,115,0,186.36441429983824,,186.29213330009952,10,186.36441429983824,186.36441429983824,0.056996299885213375,187.3968270001933,188.36657830001786,[-0.42],[-0.31166666666666665],[1],[0],[0],[2.01862240023911],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
116,0,116,0,188.42068320000544,,188.37105679977685,10,188.42068320000544,188.42068320000544,0.034534000325948,189.43117510015145,189.94890529988334,[-0.25666666666666665],[-0.215],[1],[0],[0],[1.543792000040412],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
117,0,117,0,190.00344640016556,,189.9534267000854,10,190.00344640016556,190.00344640016556,0.03514599986374378,191.04696509987116,191.94971349975094,[0.3466666666666667],[0.48],[1],[0],[0],[1.961394099984318],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
118,0,118,0,191.9977164999582,,191.9574023000896,5,191.9977164999582,191.9977164999582,0.02869539987295866,193.01530200010166,193.8351026000455,[0.24666666666666667],[-0.47333333333333333],[1],[0],[0],[1.8498292001895607],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
119,0,119,0,193.90898999990895,,193.84290330018848,10,193.90898999990895,193.90898999990895,0.051856699865311384,194.94628390017897,195.36491840006784,[0.03833333333333333],[0.405],[1],[0],[0],[1.4712220001965761],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
120,0,120,0,195.41684960015118,,195.37271270016208,5,195.41684960015118,195.41684960015118,0.031451799906790257,196.43192420015112,196.93330689985305,[-0.265],[0.04666666666666667],[1],[0],[0],[1.5301097999326885],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
121,0,121,0,196.97991140000522,,196.94097850006074,5,196.97991140000522,196.97991140000522,0.028321700170636177,197.98067629989237,198.44930850015953,[-0.27166666666666667],[0.33],[1],[0],[0],[1.481174100190401],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
122,0,122,0,198.48159850016236,,198.45375780016184,5,198.48159850016236,198.48159850016236,0.018339400179684162,199.49717570003122,200.4149929000996,[-0.3516666666666667],[-0.48],[1],[0],[0],[1.9431801000609994],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
123,0,123,0,200.46747160004452,,200.42281919997185,5,200.46747160004452,200.46747160004452,0.030937999952584505,201.49832719983533,201.71740469988436,[0.06833333333333333],[-0.315],[1],[0],[0],[1.264766599982977],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
124,0,124,0,201.79329210007563,,201.72515540011227,10,201.79329210007563,201.79329210007563,0.055179799906909466,202.8301365999505,203.56476859981194,[-0.44333333333333336],[-0.27666666666666667],[1],[0],[0],[1.7856637998484075],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
125,0,125,0,203.60196910006925,,203.56931940000504,5,203.60196910006925,203.60196910006925,0.019687300082296133,204.64707679999992,205.51645419979468,[0.315],[0.49833333333333335],[1],[0],[0],[1.92777380021289],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
126,0,126,0,205.5617438000627,,205.52426810003817,5,205.5617438000627,205.5617438000627,0.028725899755954742,,206.29901499999687,[0.315],[0.46166666666666667],[1],[0],[0],[0.7472985000349581],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
127,0,127,0,206.35341570014134,,206.30356740020216,10,206.35341570014134,206.35341570014134,0.03520080028101802,207.36382249975577,208.06521689984947,[0.475],[0.325],[1],[0],[0],[1.7269918997772038],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
128,0,128,0,208.12025680020452,,208.06975079979748,10,208.12025680020452,208.12025680020452,0.03570339968428016,209.1464928998612,210.54875760013238,[0.49],[-0.35833333333333334],[1],[0],[0],[2.443801600020379],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
129,0,129,0,210.58472240017727,,210.5532855000347,5,210.58472240017727,210.58472240017727,0.018382400274276733,211.61472260020673,211.83366859983653,[-0.24],[0.3233333333333333],[1],[0],[0],[1.262506800238043],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
130,0,130,0,211.88793409988284,,211.83824379974976,10,211.88793409988284,211.88793409988284,0.03551600035279989,212.89809089992195,214.36578969983384,[-0.275],[0.10333333333333333],[1],[0],[0],[2.492590299807489],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
131,0,131,0,214.39762549987063,,214.37026849994436,5,214.39762549987063,214.39762549987063,0.01858480041846633,215.39748140005395,215.73273470019922,[-0.21666666666666667],[0.185],[1],[0],[0],[1.3442905000410974],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
132,0,132,0,215.78624070016667,,215.73722920008004,10,215.78624070016667,215.78624070016667,0.03544590016826987,216.81354210013524,217.8815727001056,[0.49166666666666664],[0.23666666666666666],[1],[0],[0],[2.109161799773574],['target'],P2,001,2024-10-10_19h29.42.261,visual search task,2024.1.5,None,2024-10-10 19h30.27.762448 +0530,
